BANDEIRANTES-PR; CEP: 86360000; CORNELIO PROCOPIO-PR; CEP: 86300000; 29.676 KM
BANDEIRANTES-PR; CEP: 86360000; LEOPOLIS-PR; CEP: 86330000; 40.041 KM
BANDEIRANTES-PR; CEP: 86360000; CAMBARA-PR; CEP: 86390000; 30.679 KM
BANDEIRANTES-PR; CEP: 86360000; DUARTINA-SP; CEP: 17470000; 125.525 KM
BANDEIRANTES-PR; CEP: 86360000; PORTO FERREIRA-SP; CEP: 13660000; 328.409 KM
BANDEIRANTES-PR; CEP: 86360000; SANTA RITA DO PASSA QUATRO-SP; CEP: 13670000; 335.481 KM
CORNELIO PROCOPIO-PR; CEP: 86300000; LEOPOLIS-PR; CEP: 86330000; 15.821 KM
CORNELIO PROCOPIO-PR; CEP: 86300000; CAMBARA-PR; CEP: 86390000; 60.355 KM
CORNELIO PROCOPIO-PR; CEP: 86300000; DUARTINA-SP; CEP: 17470000; 153.301 KM
CORNELIO PROCOPIO-PR; CEP: 86300000; PORTO FERREIRA-SP; CEP: 13660000; 357.717 KM
CORNELIO PROCOPIO-PR; CEP: 86300000; SANTA RITA DO PASSA QUATRO-SP; CEP: 13670000; 364.577 KM
LEOPOLIS-PR; CEP: 86330000; CAMBARA-PR; CEP: 86390000; 69.732 KM
LEOPOLIS-PR; CEP: 86330000; DUARTINA-SP; CEP: 17470000; 157.256 KM
LEOPOLIS-PR; CEP: 86330000; PORTO FERREIRA-SP; CEP: 13660000; 363.822 KM
LEOPOLIS-PR; CEP: 86330000; SANTA RITA DO PASSA QUATRO-SP; CEP: 13670000; 370.112 KM
CAMBARA-PR; CEP: 86390000; DUARTINA-SP; CEP: 17470000; 98.157 KM
CAMBARA-PR; CEP: 86390000; PORTO FERREIRA-SP; CEP: 13660000; 298.249 KM
CAMBARA-PR; CEP: 86390000; SANTA RITA DO PASSA QUATRO-SP; CEP: 13670000; 305.595 KM
DUARTINA-SP; CEP: 17470000; PORTO FERREIRA-SP; CEP: 13660000; 208.377 KM
DUARTINA-SP; CEP: 17470000; SANTA RITA DO PASSA QUATRO-SP; CEP: 13670000; 213.640 KM
PORTO FERREIRA-SP; CEP: 